,user_id,item_id,story,casting,direction,images,music,rating
0,_NfrAo6RcDrUzAY-/,323478,4,3,3,3,3,4.0
1,0WmaA3CCdCPRDJijCfOlAB0-/,235810,5,5,5,5,4,5.0
2,TV6YuneSfCA.toZHKSWA/,83886,5,4,5,5,5,5.0
3,pNI6WKSEdCbGBpMuqA--/,328546,5,5,4,5,4,4.0
4,DOAsZkyXJXf4.4zR_ZE-/,326922,4,3,3,3,3,5.0
5,cYIpBCyFYDSveBHW_8hp2Q--/,336885,4,4,4,4,3,4.0
6,b4g6tfWbfCNXivx3Mw--/,324897,2,2,3,5,4,3.0
7,zkgLKtWdcCD8gPvd3pIYtQ--/,336818,2,4,3,3,2,4.0
8,GerM1M6YejwdtaY-/,329594,3,4,3,3,2,3.0
9,cecLEFyCdC1EZfpLsg--/,329667,5,5,5,5,4,5.0
10,CYsDX2OdcCNt12BeuA--/,338753,3,3,3,4,3,3.0
11,rLyy1Z6EcCc1RGk2Aa.bwQ--/,326308,4,2,2,2,3,3.0
12,5AhEvzWFbDsxASdD8Qnvlg--/,332551,5,5,5,4,4,4.0
13,oJ7ReTaacCDI.jw5m1bObg--/,337733,2,2,1,3,3,2.0
14,Y2G71IaCdCUsUhsIaoDNjiXFUz4-/,337257,4,5,4,4,4,4.0
15,znK5yCmCdHdegMamv5Q-/,334839,2,2,2,2,1,2.0
16,j88He0mPej3sByzV6jT7/,336242,4,5,5,5,4,5.0
17,jgvrpLWdfyUpvv0-/,332730,4,5,3,3,3,3.0
18,gAzLtRmVeiL8YdFkLRFYYeCj/,323689,2,5,4,3,3,4.0
19,1UingaaddCVkg8ruHdzL/,324293,2,2,2,3,2,2.0
20,2Y19i9ufSi..zjO92XNlYe8eCtGv6A--/,337347,5,5,4,4,4,5.0
21,Offs9oOccSb25urVYw--/,330036,5,2,1,1,0,1.0
22,VA5luaubdDxX9gO3OzewkwnDKg--/,326032,4,5,4,4,5,4.0
23,J76XaruSeiKZrDaYMzSS_2dC/,11954,4,5,3,3,3,4.0
24,dEFXVeCcdC2tq3MWd1yAnA--/,346335,3,3,2,3,2,3.0
25,BkWDOK6YdCdsk7Iiy0f0W3s-/,325829,2,3,1,3,1,2.0
26,kZ_A0WObeiGuPQBnkjmo/,338644,1,3,1,1,1,1.0
27,Tnf6GhGddDSe4kOdlQdch8aiFQ--/,323470,1,3,3,4,3,2.0
28,Z.cW8oCUfCXMX4WFXku_/,241425,3,2,3,3,2,3.0
29,ZUWG.W2feDvd2cwsuIrU/,336108,3,4,4,3,3,3.0
30,0K0n5.6EdDpROKA-/,339054,5,5,5,4,4,5.0
31,75QvY7OSZiVGWO.m/,333700,2,2,2,3,2,2.0
32,hb_.xU6Feju1QVpvFY.d8gcrlA--/,337733,3,5,5,5,5,4.0
33,yvsvJzKVejw_dqt2DJ4-/,85258,3,3,4,3,4,3.0
34,htkTKb.acDo.Mc3Mj4q9ZA--/,83916,5,4,3,3,3,4.0
35,tgx_ZrOXfiEJ1Sisn7i5qg--/,320083,3,4,3,4,3,3.0
36,rHLXKaeQYCX2NfOgosNP/,331409,4,5,3,4,4,5.0
37,3qMUw7mddCCsptkllImp/,336110,3,5,4,4,5,3.0
38,Be.E4teecSVwngXX/,330288,2,4,4,3,3,3.0
39,fM5nhnaYejrSXADxlg--/,342543,1,1,1,4,1,1.0
40,nZvdvcGRYDzWULp7n3kXtpU-/,324260,5,3,4,4,4,4.0
41,.Zf_NA2SdiXjdteX1w--/,22237,3,4,4,4,3,4.0
42,tiRFUvOMYC36EWU_IDtkBHw-/,331863,5,5,4,4,4,4.0
43,WFMh.LiGYBGcYLbkdTQbjQUA/,321423,1,3,1,1,1,1.0
44,.IKVFgaVZSuiF6OFLw--/,336242,4,4,4,3,3,4.0
45,5vuyqNCPdD1vIf.59ndi/,338649,4,5,5,4,4,5.0
46,ku7hlsGbYBHkGzIdVG5hNPi9_cM-/,330796,5,4,5,4,4,5.0
47,m9dlO86YdCEuQXb.ivIkerw-/,330507,5,5,4,4,4,5.0
